=== VitaSuwayomi Perf Log ===
FPS | Frame(ms) | Max(ms) | TexUp | Pending | Sections...
-----------------------------------------------------------
FPS:37 Frame:26.9ms Max:27.5ms TexUp:0 Pend:0 | grid_draw:13.4ms
FPS:36 Frame:27.1ms Max:27.5ms TexUp:0 Pend:0 | grid_draw:13.5ms
FPS:37 Frame:27.2ms Max:27.4ms TexUp:0 Pend:0 | grid_draw:13.4ms
FPS:37 Frame:27.3ms Max:0.0ms TexUp:0 Pend:0 | grid_draw:13.5ms
FPS:36 Frame:27.4ms Max:27.5ms TexUp:0 Pend:0 | grid_draw:13.5ms
FPS:37 Frame:16.7ms Max:16.8ms TexUp:0 Pend:0 | grid_draw:0.1ms
FPS:61 Frame:16.6ms Max:16.8ms TexUp:0 Pend:0 | grid_draw:0.1ms
FPS:60 Frame:16.6ms Max:17.2ms TexUp:0 Pend:0 | grid_draw:0.1ms
FPS:18 Frame:47.6ms Max:47.9ms TexUp:0 Pend:0 | grid_draw:34.8ms
FPS:21 Frame:47.5ms Max:0.0ms TexUp:0 Pend:0 | grid_draw:34.5ms
FPS:21 Frame:51.5ms Max:56.1ms TexUp:0 Pend:0 | grid_draw:37.6ms
FPS:19 Frame:52.3ms Max:53.0ms TexUp:0 Pend:0 | grid_draw:38.2ms
FPS:19 Frame:50.6ms Max:55.2ms TexUp:0 Pend:0 | grid_draw:35.4ms
FPS:19 Frame:53.6ms Max:53.7ms TexUp:0 Pend:0 | grid_draw:39.1ms
FPS:19 Frame:50.9ms Max:53.6ms TexUp:0 Pend:0 | grid_draw:37.6ms
FPS:20 Frame:53.3ms Max:54.4ms TexUp:0 Pend:0 | grid_draw:38.7ms
FPS:19 Frame:51.2ms Max:0.0ms TexUp:0 Pend:0 | grid_draw:36.5ms
FPS:19 Frame:48.7ms Max:50.6ms TexUp:0 Pend:0 | grid_draw:35.6ms
FPS:19 Frame:52.8ms Max:56.4ms TexUp:0 Pend:0 | grid_draw:37.8ms
FPS:20 Frame:49.2ms Max:49.2ms TexUp:0 Pend:0 | grid_draw:35.8ms
FPS:20 Frame:50.5ms Max:50.5ms TexUp:0 Pend:0 | grid_draw:36.7ms
FPS:20 Frame:50.4ms Max:0.0ms TexUp:0 Pend:0 | grid_draw:36.7ms
FPS:19 Frame:53.4ms Max:53.4ms TexUp:0 Pend:0 | grid_draw:39.2ms
FPS:19 Frame:53.1ms Max:53.1ms TexUp:0 Pend:0 | grid_draw:39.1ms
FPS:19 Frame:53.4ms Max:53.4ms TexUp:0 Pend:0 | grid_draw:39.4ms
FPS:19 Frame:53.1ms Max:53.1ms TexUp:0 Pend:0 | grid_draw:39.1ms
FPS:19 Frame:52.7ms Max:53.0ms TexUp:0 Pend:0 | grid_draw:38.7ms
FPS:19 Frame:53.1ms Max:53.2ms TexUp:0 Pend:0 | grid_draw:38.9ms
FPS:19 Frame:51.8ms Max:53.1ms TexUp:0 Pend:0 | grid_draw:38.2ms
FPS:19 Frame:52.7ms Max:52.7ms TexUp:0 Pend:0 | grid_draw:38.7ms
FPS:19 Frame:51.6ms Max:51.7ms TexUp:0 Pend:0 | grid_draw:37.9ms
FPS:19 Frame:53.1ms Max:53.2ms TexUp:0 Pend:0 | grid_draw:39.1ms
FPS:19 Frame:53.2ms Max:53.2ms TexUp:0 Pend:0 | grid_draw:39.0ms
FPS:19 Frame:53.7ms Max:107.2ms TexUp:0 Pend:0 | grid_draw:39.4ms
FPS:19 Frame:53.1ms Max:54.3ms TexUp:0 Pend:0 | grid_draw:39.3ms
